word,translation
excellent,ace
very good,ace
agressive,aggro
aggravation,aggro
aggravated,aggro
ambulance,ambo
aluminum foil,al-foil
everything is all right,she's apples
everything will be all right,she'll be apples
not intrested,not arsed
do not care,not arsed
will not be intrested,ain't arsed
as if,'sif
reserve,bags
reserved,baged
barbecue,barbie
great,beaut
fantastic,beaut
terrific,beaut
a problem,beef
biscuit,bickie
bic lighter,bickie
brag,big-note
boast,big-note
buisness,bizz
very,bloody
that's certainly true,bloody oath
shirk,bludge
be lazy,bludge
waste time,bludge
swim trunks,boardies
eat,bog in
basic,bog standard
unadorned,bog standard
plain,bog standard
pony,brumbie
stag party,buck's night
bachalor's party,buck's night
tired,buggered
broken,buggered
in trouble,buggered
cork,bung
stopper,bung
broken,bung
not working,bung
woods,brush
woodland,brushland
forest fire,brushfire
hiking,brushwalking
street musician,busker
smoker,buttsucker
dead,cactus
non-functional,cactus
not functioning,cactus
die,cark it
break,cark it
broke,carked it
dead,carked it
come on,carn
that is great,the cat's pyjamas
cattle rustler,cattle duffer
chicken,chook
feeling broody,clucky
feeling maternal,clucky
farmer,cockie
cockatoo,cockie
a beer,coldie
beer,coldie
beers,coldies
make a bad mistake,come a guster
have an accident,come a guster
made a bad mistake,come a guster
had an accident,come a guster
workers comp,compo
workers compensation,compo
drunk,cooked
angred,crook
sick,crook
unfair,crook
get drunk,get crunk
upset,cut
pants,dacks
trousers,dacks
shorts,dacks
underwear,dacks
dork,dag
dorky,daggy
uncool,daggy
unfashionable,daggy
darling,darl
certain,dead set
indisputable,dead set
excellent,deadly
devastated,devo
deviant,devo
that's obvious,der
duh,der
idiot,derro
stupid,derro
homeless person,derro
designated driver,deso
look at,dekko
inspect,dekko
condom,dinger
honest,dinkum
genuine,dinkum
real,dinkum
the real thing,dinky-di
bad weather,dirty
weather is bad,dirty
weather will be bad,dirty
electoral district,division
inform on,dob
inform about,dob
snitch,dob
bill,docket
receipt,docket
documentary,doco
duvet,doona
quilt,doona
fool,drongo
foolish,drongo
information,drum
obsoless,drum
become obsolete,drum
sideboard,duchess
perfectly suited,duck's guts
passifier,dummy
get upset,spit the dummy
outraged,spit the dummy
toilet,dunny
top of the class,dux
best in class,dux
the best of its kind,dux
nagging,earbashing
chattering,earbashing
evening,evo
absolutly true,fair dinkum
okay,fair enough
OK,fair enough
I don't see a problem with that,fair enough
trashy,feral
disgusting,feral
unhygenic,feral
rotten,feral
out of controll,feral
as fast as possible,flat out
buisy,flat out
get rid of,flick
sell,flog
steal,flog
treat roughly,flog
beat up,flog
window screen,fly wire
door screen,fly wire
walkway,footpath
sidewalk,footpath
pathway,footpath
prospect,fossick
fucking ugly,fugly
bucking ugly,fugly
firefighter,firey
go on,garn
going,garn
good day,g'day
fed up with,get jack of
try it,give it a burl
have a go,give it a burl
give it a go,give it a burl
suprised,gobsmacked
astounded,gobsmacked
useful information,good oil
a good idea,good oil
the truth,good oil
good for you,good onya
well done,good onya
cheep wine,goon
box wine,goon
great,grouse
terrific,grouse
very good,grouse
above average,gun
mock,hang shit
sully,hang shit
genigrate,hang shit
slander,hang shit
clothes line,hills hoist
a lot,heaps
very good,heaps good
hot water bottle,hottie
how have you been,how ya gahn
how are you doing,how ya gahn
jaded,jaded
coming down,jaded
fucking oath,ken oath
bucking oath,ken oath
kindergarten,kindie
keroscene,kero
exausted,knackered
very tired,knackered
criticise,knock
language,lingo
dialect,lingo
lipstick,lippy
sleeping roll,matilda
sleeping bag,matilda
jinx,moz
mosquieto,mozzie
mangled,munted
inebriated,munted
round up,muster
gather,muster
no,nah
no,yeah, nah
you are welcome,no worries
no problem,no worries
that is all right,no worries
an idiot,a ning-nong
they are not bright,they're not the full quid
he is not bright,they're not the full quid
she is not bright,they're not the full quid
hammer out,nut out
bungie cord,occy strap
good on you,onya
thrift store,op shop
secondhand store,op shop
good example,pearler
pervert,perv
easy task,piece of piss
easy job,piece of piss
very easy,piece of piss
that is easy,piece of piss
get fired,get the pink slip
got fired,got the pink slip
get lost,piss off
smidge,poofteenth
smidgen,poofteenth
miniscule ammount,poofteenth
cheep looking,povo
pregnant,preggo
present,prezzy
gift,prezzy
earn a living,make a quid
push off,rack off
get out of here,rack off
pary,rage
delighted,rapt
very happy,rapt
extreemly drunk,ratshit
very drunk,ratshit
think,reckon
believe,reckon
thought,reckon'd
believed,reckon'd
arrive,rock up
turn up,rock up
arrived,rocked up
turned up,rocked up
very angry,ropeable
cheating,rort
fiddling,rort
defrauding,rort
scamming,rort
sandwich,sanga
extremely wet,satched
lottery ticket,scratchie
paved road,sealed road
service station,servo
petrol station,servo
gas station,servo
woman,sheila
talented,shit-hot
full of shit,showbag
poorly made,shonky
low quality,shonky
dishonest,shonky
dubious,shonky
underhanded,shonky
very good,sick
vomit,spew
a look,a squiz
pleasing,stellar
thanks,stellar
nose around,stickybeak
bad luck,stiff bickies
tough luck,stiff cheddar
very pleased,stoked
sunbathe,sunbake
suspicious,sus
suspect,sus
figure out,sus
uncover,sus
suspected,sused
figured out,sused
uncovered,sused
thank you,ta
thrifty,tight
can of beer,tinny
on edge,toey
nervous,toey
anxious,toey
keyed up,toey
horny,toey
that is correct,too right
completely loyal,true blue
clumsy,unco
uncoordinated,unco
klutz,unco
university,uni
flat,unit
appartment,unit
vegetables,veggies
skip school,wag
skip work,wag
skip out,wag
play hookie,wag
complain,whinge
complained,whinged
complaining,whinging
flu,wog
talk a lot,yabber
talking a lot,yabbering
yes,nah, yea
